Universityname,uid,Location ,Fee,GRE,IELTS,TOEFL,Percentage,Y/N
Arizona State University,1,Arizona,24604,313,8.5,110,95,0
Arizona State University,1,Arizona,24604,310,6.0,81,86,0
Arizona State University,1,Arizona,24604,301,6.5,78,83,1
Arizona State University,1,Arizona,24604,326,7.0,101,62,1
Arizona State University,1,Arizona,24604,305,8.5,115,76,0
Arizona State University,1,Arizona,24604,324,7.0,72,75,1
Arizona State University,1,Arizona,24604,302,5.0,94,67,0
Arizona State University,1,Arizona,24604,310,7.0,81,93,1
Arizona State University,1,Arizona,24604,305,7.5,110,77,0
Arizona State University,1,Arizona,24604,338,7.0,117,72,1
Arizona State University,1,Arizona,24604,339,7.5,90,76,1
Arizona State University,1,Arizona,24604,340,5.0,99,95,1
Arizona State University,1,Arizona,24604,323,7.5,120,66,0
Arizona State University,1,Arizona,24604,294,8.0,75,90,1
Arizona State University,1,Arizona,24604,290,9.0,86,64,1
Arizona State University,1,Arizona,24604,301,7.5,79,85,0
Arizona State University,1,Arizona,24604,338,8.0,109,74,0
Arizona State University,1,Arizona,24604,303,6.0,103,65,0
Arizona State University,1,Arizona,24604,294,8.0,106,84,0
Arizona State University,1,Arizona,24604,326,6.0,98,75,0
Arizona State University,1,Arizona,24604,317,9.0,86,90,1
Arizona State University,1,Arizona,24604,324,6.5,87,91,1
Arizona State University,1,Arizona,24604,294,5.0,102,75,0
Arizona State University,1,Arizona,24604,311,9.0,113,90,1
Arizona State University,1,Arizona,24604,316,8.5,91,81,0
Arizona State University,1,Arizona,24604,322,5.5,117,66,1
Arizona State University,1,Arizona,24604,321,7.5,120,70,1
Arizona State University,1,Arizona,24604,306,7.0,118,89,1
Arizona State University,1,Arizona,24604,306,5.5,82,63,0
Arizona State University,1,Arizona,24604,337,8.0,92,90,0
Arizona State University,1,Arizona,24604,313,6.5,95,89,1
Arizona State University,1,Arizona,24604,290,6.5,120,77,1
Arizona State University,1,Arizona,24604,299,7.0,118,70,1
Arizona State University,1,Arizona,24604,302,7.0,90,78,0
Arizona State University,1,Arizona,24604,340,9.0,99,86,0
Arizona State University,1,Arizona,24604,311,6.5,96,79,0
Arizona State University,1,Arizona,24604,307,5.0,104,68,0
Arizona State University,1,Arizona,24604,324,5.0,90,81,0
Arizona State University,1,Arizona,24604,305,7.0,108,73,1
Arizona State University,1,Arizona,24604,314,7.5,92,71,0
Arizona State University,1,Arizona,24604,306,5.0,82,72,1
Arizona State University,1,Arizona,24604,305,5.0,80,77,1
Arizona State University,1,Arizona,24604,304,5.5,111,79,0
Arizona State University,1,Arizona,24604,336,9.0,111,72,0
Arizona State University,1,Arizona,24604,323,7.5,75,75,1
Arizona State University,1,Arizona,24604,331,9.0,87,71,0
Arizona State University,1,Arizona,24604,306,6.0,100,81,1
Arizona State University,1,Arizona,24604,295,7.0,73,92,0
Arizona State University,1,Arizona,24604,298,6.0,94,85,0
Arizona State University,1,Arizona,24604,320,8.5,119,77,0
Arizona State University,1,Arizona,24604,325,5.5,114,71,0
Arizona State University,1,Arizona,24604,339,6.5,94,66,1
Arizona State University,1,Arizona,24604,339,5.0,115,94,0
Arizona State University,1,Arizona,24604,308,8.0,72,65,1
Arizona State University,1,Arizona,24604,300,6.0,101,74,1
Arizona State University,1,Arizona,24604,311,6.5,88,63,1
Arizona State University,1,Arizona,24604,291,8.5,110,63,0
Arizona State University,1,Arizona,24604,328,6.5,72,69,0
Arizona State University,1,Arizona,24604,339,7.0,105,68,0
Arizona State University,1,Arizona,24604,334,6.5,115,75,0
Arizona State University,1,Arizona,24604,292,6.5,76,89,0
Arizona State University,1,Arizona,24604,335,7.5,105,80,0
Arizona State University,1,Arizona,24604,301,8.5,116,79,0
Arizona State University,1,Arizona,24604,290,7.0,99,89,0
Arizona State University,1,Arizona,24604,303,6.5,106,89,0
